Date,Stock,Close,Volume
2019-03-14,CSCO,51.31081772,19215900
2019-03-15,CSCO,51.758358,43670700
2019-03-18,CSCO,52.05995178,19073800
2019-03-19,CSCO,51.8653717,20596400
2019-03-20,CSCO,51.81672287,21140800
2019-03-21,CSCO,52.47829819,20082700
2019-03-22,CSCO,51.31081772,23938500
2019-03-25,CSCO,51.30109024,18774900
2019-03-26,CSCO,51.78754044,17742700
2019-03-27,CSCO,51.69998169,20447500
2019-03-28,CSCO,51.91401672,13095000
2019-03-29,CSCO,52.52694702,19582300
2019-04-01,CSCO,53.49011612,19741700
2019-04-02,CSCO,53.79171753,17264000
2019-04-03,CSCO,54.12250519,21110400
2019-04-04,CSCO,53.98543549,16412100
2019-04-05,CSCO,54.05397034,13817500
2019-04-08,CSCO,54.32810593,13862800
2019-04-09,CSCO,54.02459717,15508400
2019-04-10,CSCO,54.65119553,13460200
2019-04-11,CSCO,54.43579865,13186000
2019-04-12,CSCO,55.11135483,14331700
2019-04-15,CSCO,55.3757019,12198400
2019-04-16,CSCO,55.75753403,19718300
2019-04-17,CSCO,55.13093948,26093600
2019-04-18,CSCO,55.21905136,18332000
2019-04-22,CSCO,55.16030884,11951500
2019-04-23,CSCO,55.50298309,18796600
2019-04-24,CSCO,55.68899918,13212000
2019-04-25,CSCO,55.15051651,15526900
2019-04-26,CSCO,54.70994186,18010900
2019-04-29,CSCO,54.95470428,16259500
2019-04-30,CSCO,54.77847672,20846000
2019-05-01,CSCO,54.41622162,17648500
2019-05-02,CSCO,53.78962326,24220600
2019-05-03,CSCO,53.78962326,26887100
2019-05-06,CSCO,53.44695282,17025900
2019-05-07,CSCO,52.33082199,25289700
2019-05-08,CSCO,52.35040283,21525100
2019-05-09,CSCO,51.81191635,24322800
2019-05-10,CSCO,52.2427063,21795900
2019-05-13,CSCO,50.22583771,28869900
2019-05-14,CSCO,50.93076324,25478300
2019-05-15,CSCO,51.34196854,30577200
2019-05-16,CSCO,54.75889587,46057800
2019-05-17,CSCO,55.17009354,27299300
2019-05-20,CSCO,54.83721542,21004100
2019-05-21,CSCO,55.33654022,18562300
2019-05-22,CSCO,54.52392197,19479200
2019-05-23,CSCO,53.05532455,22734200
2019-05-24,CSCO,53.23155975,13057600
2019-05-28,CSCO,52.80076981,29769200
2019-05-29,CSCO,52.06647491,19762100
2019-05-30,CSCO,52.44830704,12954300
2019-05-31,CSCO,50.94055176,20480400
2019-06-03,CSCO,50.69578552,22380500
2019-06-04,CSCO,52.11542892,21689300
2019-06-05,CSCO,53.60359955,22521900
2019-06-06,CSCO,53.94626999,15927300
2019-06-07,CSCO,54.75889587,17394900
2019-06-10,CSCO,55.23862839,16871000
2019-06-11,CSCO,55.91418457,26723700
2019-06-12,CSCO,54.69036102,23168000
2019-06-13,CSCO,54.99386597,15785300
2019-06-14,CSCO,53.60359955,22530500
2019-06-17,CSCO,54.23999405,20392600
2019-06-18,CSCO,54.87638092,21173200
2019-06-19,CSCO,54.95470428,21096300
2019-06-20,CSCO,56.20790482,20969800
2019-06-21,CSCO,55.83586121,57588800
2019-06-24,CSCO,55.98271942,17794100
2019-06-25,CSCO,54.90575409,25520600
2019-06-26,CSCO,55.41486359,19286100
2019-06-27,CSCO,54.56307983,23959900
2019-06-28,CSCO,53.58402252,103123400
2019-07-01,CSCO,53.59381104,28484000
2019-07-02,CSCO,54.64140701,20307100
2019-07-03,CSCO,55.64635086,13866800
2019-07-05,CSCO,55.76457977,14273900
2019-07-08,CSCO,55.36063004,15835100
2019-07-09,CSCO,55.50841904,19564000
2019-07-10,CSCO,56.28675842,19362600
2019-07-11,CSCO,56.45425034,15994600
2019-07-12,CSCO,57.09465408,13660400
2019-07-15,CSCO,57.19318008,8809700
2019-07-16,CSCO,56.76952362,11501100
2019-07-17,CSCO,56.36557388,9266900
2019-07-18,CSCO,56.88775635,10292900
2019-07-19,CSCO,56.5133667,13882400
2019-07-22,CSCO,56.87790298,10485600
2019-07-23,CSCO,56.85819626,12692200
2019-07-24,CSCO,56.38528061,18177000
2019-07-25,CSCO,55.7842865,15127200
2019-07-26,CSCO,55.69561386,15243000
2019-07-29,CSCO,56.08971024,12051100
2019-07-30,CSCO,55.6364975,9623400
2019-07-31,CSCO,54.58229446,17441200
2019-08-01,CSCO,54.5724411,19020600
2019-08-02,CSCO,52.4640274,29021900
2019-08-05,CSCO,50.61177444,29931800
2019-08-06,CSCO,51.82361984,20708400
2019-08-07,CSCO,51.56745911,24128600
2019-08-08,CSCO,52.37535477,26093500
2019-08-09,CSCO,51.65613174,17425000
2019-08-12,CSCO,50.77926636,16388300
2019-08-13,CSCO,51.94184875,21499500
2019-08-14,CSCO,49.86299515,28688100
2019-08-15,CSCO,45.56734848,61129100
